Name,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F1 (micro),F1 (macro),F1 (weighted)
salinas_a_clustering_kmeans_linear_autoencoder_1.txt,0.8378833208676141,0.8894642680340089,0.9187785871617891,0.8378833208676141,0.8841610491976875,0.8378833208676141,0.8378833208676141,0.849459308912964,0.8358217132459035,0.8378833208676141
salinas_a_clustering_kmeans_none_autoencoder_none.txt,0.8068436798803291,0.8516335710560902,0.8807070980905332,0.8068436798803291,0.8592953251872734,0.8068436798803291,0.8068436798803291,0.8119105303948825,0.7924755482429483,0.8068436798803291
salinas_a_gaussian_mixture_diag_linear_autoencoder_1.txt,0.8347045624532535,0.88479571337133,0.8995717755810774,0.8347045624532535,0.8757804301312787,0.8347045624532535,0.8347045624532535,0.8488848363196025,0.8292366525110184,0.8347045624532535
salinas_a_gaussian_mixture_diag_none_autoencoder_none.txt,0.7047494390426328,0.6523430837235109,0.6174883085344572,0.7047494390426328,0.7974396245507923,0.7047494390426328,0.7047494390426328,0.6954405207701105,0.6388092749055999,0.7047494390426328
salinas_a_gaussian_mixture_full_linear_autoencoder_1.txt,0.8388182498130142,0.8897993019519439,0.9179442590504759,0.8388182498130142,0.8865971066555467,0.8388182498130142,0.8388182498130141,0.8515305326003455,0.8377720537508319,0.8388182498130142
salinas_a_gaussian_mixture_full_none_autoencoder_none.txt,0.6570680628272252,0.7060813537322218,0.6813779578681247,0.6570680628272252,0.774686361825709,0.6570680628272252,0.6570680628272252,0.7076801169001864,0.6371941349544943,0.6570680628272252
salinas_a_gaussian_mixture_spherical_linear_autoencoder_1.txt,0.8442408376963351,0.8955083708096879,0.9221628964812291,0.8442408376963351,0.8905944094018298,0.8442408376963351,0.8442408376963351,0.8572168755176398,0.842689734739199,0.8442408376963351
salinas_a_gaussian_mixture_spherical_none_autoencoder_none.txt,0.5974195961106956,0.6522164952479629,0.6130842873214915,0.5974195961106956,0.7349059930305177,0.5974195961106956,0.5974195961106956,0.652672818475684,0.5648023478299578,0.5974195961106956
salinas_a_gaussian_mixture_tied_linear_autoencoder_1.txt,0.8412490650710546,0.8956640728406815,0.9226198465364654,0.8412490650710546,0.8877752434106737,0.8412490650710546,0.8412490650710547,0.8543843597863748,0.8394325986789581,0.8412490650710546
salinas_a_gaussian_mixture_tied_none_autoencoder_none.txt,0.7163425579655947,0.745260601324874,0.7405436839487267,0.7163425579655947,0.7156473612764062,0.7163425579655947,0.7163425579655947,0.6944573017106683,0.6718071292944284,0.7163425579655947
