samson;none;none;;828
samson;none;none;;230
samson;none;none;;203
samson;none;none;;218
samson;none;none;;215
samson;linear;1;;4613
samson;linear;1;;4991
samson;linear;1;;4923
samson;linear;1;;4857
samson;linear;1;;4850
samson;linear;4;;10917
samson;linear;4;;5006
samson;linear;4;;3754
samson;linear;4;;3457
samson;linear;4;;8050
samson;convolutional;1;;11856
samson;convolutional;1;;8195
samson;convolutional;1;;6758
samson;convolutional;1;;8540
samson;convolutional;1;;13699
samson;linear;2;;8287
samson;linear;2;;8311
samson;linear;2;;7791
samson;linear;2;;7735
samson;linear;2;;8014
samson;linear;3;;10475
samson;linear;3;;10594
samson;linear;3;;10319
samson;linear;3;;10125
samson;linear;3;;9665
samson;linear;5;;13662
samson;linear;5;;14579
samson;linear;5;;15197
samson;linear;5;;13252
samson;linear;5;;13630
samson;linear;6;;18266
samson;linear;6;;7495
samson;linear;6;;15027
samson;linear;6;;15567
samson;linear;6;;20450
samson;convolutional;2;;9385
samson;convolutional;2;;13832
samson;convolutional;2;;6534
samson;convolutional;2;;7628
samson;convolutional;2;;6892
samson;convolutional;3;;10035
samson;convolutional;3;;10910
samson;convolutional;3;;10649
samson;convolutional;3;;10365
samson;convolutional;3;;10989
